City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Porto Novo,6.4965,2.6036,82.22,76,100,7.7,BJ,2022-10-12 15:47:33
67,Lavrentiya,65.5833,-171.0,24.85,65,10,5.37,RU,2022-10-12 15:47:34
68,Nelson Bay,-32.7167,152.15,62.01,89,83,8.99,AU,2022-10-12 15:47:34
69,Katima Mulilo,-17.5,24.2667,89.83,14,50,10.02,NA,2022-10-12 15:47:35
70,Comodoro Rivadavia,-45.8667,-67.5,53.46,28,40,26.46,AR,2022-10-12 15:46:16
71,Mandalgovi,45.7625,106.2708,37.44,59,3,6.98,MN,2022-10-12 15:47:35
72,Barrow,71.2906,-156.7887,26.62,93,100,18.41,US,2022-10-12 15:47:36
73,Carnarvon,-24.8667,113.6333,65.26,45,0,22.93,AU,2022-10-12 15:47:36
74,Saskylakh,71.9167,114.0833,24.01,96,98,3.09,RU,2022-10-12 15:47:36
75,Katangi,23.45,79.7833,78.06,84,44,4.68,IN,2022-10-12 15:47:37
76,Rifu,38.3236,140.9744,57.13,71,100,6.33,JP,2022-10-12 15:47:37
77,Pisco,-13.7,-76.2167,64.02,77,20,9.22,PE,2022-10-12 15:47:38
78,Banda Aceh,5.5577,95.3222,79.7,79,97,7.92,ID,2022-10-12 15:47:38
79,Santiago,-33.4569,-70.6483,74.98,44,0,5.75,CL,2022-10-12 15:47:03
80,San Cristobal,7.7669,-72.225,80.78,43,52,6.58,VE,2022-10-12 15:47:39
81,Alamo,20.9167,-97.6833,78.44,72,73,8.19,MX,2022-10-12 15:47:39
82,Tasiilaq,65.6145,-37.6368,33.96,93,100,2.64,GL,2022-10-12 15:47:39
83,Dudinka,69.4058,86.1778,33.62,98,100,7.56,RU,2022-10-12 15:47:40
84,Vaini,-21.2,-175.2,68.16,100,75,3.44,TO,2022-10-12 15:47:40
85,Caravelas,-17.7125,-39.2481,83.48,51,69,10.02,BR,2022-10-12 15:47:40
86,Port Alfred,-33.5906,26.891,69.19,88,97,1.01,ZA,2022-10-12 15:47:41
87,Kagoro,9.6,8.3833,76.69,69,95,3.65,NG,2022-10-12 15:47:41
88,Nong Phai,15.9903,101.0618,74.79,89,27,1.77,TH,2022-10-12 15:47:42
89,Kalmunai,7.4167,81.8167,79.21,85,46,6.13,LK,2022-10-12 15:47:42
90,Bandarbeyla,9.4942,50.8122,78.21,84,0,9.15,SO,2022-10-12 15:47:42
91,Rudbar,30.15,62.6,74.23,9,0,5.93,AF,2022-10-12 15:47:43
92,Port Elizabeth,-33.918,25.5701,72.1,91,20,12.66,ZA,2022-10-12 15:47:43
93,Dabakala,8.3667,-4.4333,86.23,60,39,4.0,CI,2022-10-12 15:47:44
94,Patea,-39.7583,174.4833,51.84,98,100,5.01,NZ,2022-10-12 15:47:44
95,Longyearbyen,78.2186,15.6401,33.64,69,75,6.91,SJ,2022-10-12 15:47:44
96,Kang,-23.6752,22.7876,88.61,11,24,8.77,BW,2022-10-12 15:48:45
97,Vernon,50.2581,-119.2691,44.13,81,7,1.14,CA,2022-10-12 15:44:48
98,Victoria,22.2855,114.1577,78.33,72,70,3.0,HK,2022-10-12 15:46:39
99,Noumea,-22.2763,166.4572,67.98,85,53,10.02,NC,2022-10-12 15:48:45
100,Siclong,15.5808,121.2239,74.95,95,100,3.85,PH,2022-10-12 15:48:46
101,Ponta Do Sol,32.6667,-17.1,77.0,68,32,2.19,PT,2022-10-12 15:48:46
102,Barra Do Corda,-5.5,-45.25,103.35,16,56,6.06,BR,2022-10-12 15:48:47
103,Port Blair,11.6667,92.75,77.04,88,40,2.3,IN,2022-10-12 15:48:47
104,Sorong,-0.8833,131.25,78.39,88,87,6.93,ID,2022-10-12 15:48:47
105,Cabo San Lucas,22.8909,-109.9124,85.51,60,3,7.92,MX,2022-10-12 15:48:43
106,Atar,20.5169,-13.0499,100.62,16,73,14.97,MR,2022-10-12 15:48:48
107,Adelaide,-34.9333,138.6,55.85,89,75,5.75,AU,2022-10-12 15:45:54
108,Storm Lake,42.6411,-95.2097,58.24,38,0,21.85,US,2022-10-12 15:48:49
109,Anqing,30.5092,117.0506,57.63,72,50,4.97,CN,2022-10-12 15:48:49
110,Sakakah,29.9697,40.2064,90.97,16,0,7.14,SA,2022-10-12 15:48:11
